tiempo_id;usuario;practica;tecla;up;down;modo
1;1;1;69;43;0;1
2;1;1;83;237;157;1
3;1;1;84;458;330;1
4;1;1;65;571;426;1
5;1;1;32;650;572;1
6;1;1;69;778;714;1
7;1;1;83;970;858;1
8;1;1;32;1066;986;1
9;1;1;85;1226;1146;1
10;1;1;78;1418;1338;1
11;1;1;65;1595;1434;1
12;1;1;32;1563;1515;1
13;1;1;80;1787;1674;1
14;1;1;82;2011;1899;1
15;1;1;85;2155;2059;1
16;1;1;69;2219;2155;1
17;1;1;66;2442;2347;1
18;1;1;65;2586;2412;1
19;1;1;32;2635;2570;1
20;1;1;68;2778;2698;1
21;1;1;69;2954;2890;1
22;1;1;32;3066;3002;1
23;1;1;69;3194;3130;1
24;1;1;83;3371;3290;1
25;1;1;67;3563;3483;1
26;1;1;82;3755;3674;1
27;1;1;73;3834;3755;1
28;1;1;84;3997;3915;1
29;1;1;85;4092;3997;1
30;1;1;82;4235;4123;1
31;1;1;65;4346;4188;1
32;1;1;44;4559;4559;1
33;1;1;32;4810;4716;1
34;1;1;73;4970;4891;1
35;1;1;78;5098;4986;1
36;1;1;71;5450;5370;1
37;1;1;82;5707;5581;1
38;1;1;69;5753;5644;1
39;1;1;83;6011;5834;1
40;1;1;65;6075;5914;1
41;1;1;82;6122;6012;1
42;1;1;32;6394;6282;1
43;1;1;49;7050;7050;1
44;1;1;55;7962;7962;1
45;1;1;54;8314;8314;1
46;1;1;46;8572;8572;1
47;1;1;53;8859;8859;1
48;1;1;52;8955;8955;1
49;1;1;32;9355;9258;1
50;1;1;76;10074;9931;1
51;1;1;85;10363;10267;1
52;1;1;69;10554;10475;1
53;1;1;71;10778;10714;1
54;1;1;79;10875;10812;1
55;1;1;32;10986;10906;1
56;1;1;79;11195;11117;1
57;1;1;84;11323;11276;1
58;1;1;82;11514;11434;1
59;1;1;79;11595;11530;1
60;1;1;32;11706;11642;1
61;1;1;67;11913;11786;1
62;1;1;79;11978;11882;1
63;1;1;77;12091;12010;1
64;1;1;79;12202;12091;1
65;1;1;32;12394;12282;1
66;1;1;57;13002;13002;1
67;1;1;56;13293;13293;1
68;1;1;55;13517;13517;1
